your name. (movie)	Amuse
Mobile Suit Gundam: The 08th MS Team (OAV)	Bandai Visual
Zan Sayonara Zetsubō Sensei Bangai-chi (OAV)	unknown
Kamichu! (TV)	Aniplex
Hidamari Sketch × Hoshimittsu (special)	Hidamari Apartments Administration
Noein - to your other self (TV)	Bandai Channel
Hōzuki no Reitetsu (OAV)	unknown
Seto no Hanayome (OAV)	unknown
Shonen Onmyouji (TV)	unknown
Scrapped Princess (TV)	BONES
Full Metal Panic! The Second Raid (OAV)	Full Metal Panic! Film Partners
Tenchi Muyo! War on Geminar (OAV)	AIC
White Album 2 (TV)	AQUAPLUS
Tiger & Bunny The Movie -The Rising-	Asatsu-DK
Ushio & Tora (TV 2)	Janice Williams
JoJo's Bizarre Adventure: Stardust Crusaders Egypt Arc (TV)	JoJo's Bizarre Adventure Production Committee
Hidamari Sketch × 365 (TV)	Aniplex
Gunslinger Girl (TV)	Bandai Visual
Little Witch Academia (TV)	Good Smile Company
Giovanni's Island (movie)	Japan Association of Music Enterprises
Colorful (movie)	Atsushi Terada
Steins;Gate 0 (TV)	Future Gadget Lab
Megalobox (TV)	Bandai Namco Arts
Akira (movie)	Akira Committee Company Ltd
Another (TV)	Hiroyasu Asami
Detective Conan: The Raven Chaser (movie 13)	Nippon Television Network
From the New World (TV)	A-1 Pictures
Blood+ (TV)	Aniplex
Lupin the Third: Jigen's Gravestone (movie)	TMS Entertainment
Waiting in the Summer (TV)	AT-X
Strawberry Marshmallow (TV)	Ichigo Mashimaro Partners
Queen Millennia (TV)	Toei Animation
Inuyashiki Last Hero (TV)	Aniplex
Case Closed The Movie: The Time Bombed Skyscraper	Detective Conan Production Committee
Fairy Tail (TV 2/2014)	A-1 Pictures
(The) Seven Deadly Sins: Revival of The Commandments (TV)	A-1 Pictures
Fullmetal Alchemist: Brotherhood (OAV)	unknown
Full Metal Panic! Invisible Victory (TV)	unknown
